108	2275	8	7.09
8	140	22	7.27
661	787	3	6.75
5815	117	3	7.97
9425	6016	3	47.94
518	1393	3	9.47
316	2095	5	18.9
123	4267	3	8.08
9351	149	3	18.98
1134	987	3	11.55
114	5221	3	7.1
164	3870	3	8.42
833	247	7	14.53
1656	2097	4	28.32
1358	365	3	7.7
710	1357	8	45.88
1144	379	5	14.29
7409	408	3	22.95
253	2571	4	16.86
247	365	11	16.23
735	374	8	25.37
797	344	8	25.39
283	721	7	13.61
149	1069	7	10.08
1301	3165	3	21.91
1633	416	5	22.11
222	1662	4	8.1
783	6754	4	40.93
863	634	4	12.83
407	2122	3	10.86
1509	1359	3	15.81
269	292	13	17.78
163	454	12	10.99
140	1281	8	14.47
341	306	18	45.17
3211	319	7	42.78
129	328	20	12.67
146	5320	5	24.08
130	1557	7	10.07
4126	164	3	9.21
173	107	125	63.26
773	886	6	25.35
107	117	196	8.75
119	755	18	32.09
685	112	17	8.35
715	499	4	8.79
186	1822	5	11.26
218	883	36	218.42
1753	105	12	7.75
267	9558	3	23.83
1401	563	3	10.34
247	483	9	14.6
1809	118	7	8.08
123	2273	6	11.45
280	1201	5	11.75
1043	848	6	26.5
1199	774	5	22.3
597	201	9	12.14
960	1757	3	15.9
1122	134	8	9.09
142	1857	5	7.04
2505	147	5	13.54
173	169	35	27.05
3875	203	3	10.26
4363	187	3	9.94
4997	118	4	11.73
149	917	10	16.79
961	913	4	15.15
13	1935	3	13.98
414	1219	3	6.77
248	3712	5	26.41
1132	4354	3	24.01
247	534	6	7.48
455	103	62	38.35
457	733	6	18.35
77	928	5	7.47
839	791	4	12.21
2736	572	3	16.97
1699	218	9	34.42
1942	472	3	10.57
122	216	30	9.62
369	121	21	9.32
752	175	8	9.49
144	580	13	12.25
958	489	8	32.49
479	157	13	18.76
9026	1293	3	34.02
230	182	23	16.75
1615	2386	3	20.29
5562	69	3	8.75
740	956	5	21.15
314	195	30	77.35
7704	135	3	13.91
1276	589	5	22.55
108	927	18	8.47
858	517	9	36.95
158	941	10	16.79
1131	159	6	6.68
137	1770	5	8.08
